task,Trad_AUC,Trad_CI_low,Trad_CI_high,Topo_AUC,Topo_CI_low,Topo_CI_high,Comb_AUC,Comb_CI_low,Comb_CI_high
Mitosis,0.8449920508744038,0.7796289388936447,0.9011132251763996,0.7543720190779015,0.6588023143201638,0.8354739514857029,0.8264440911499735,0.7488761680840271,0.8997651484020501
Apoptosis,0.5201934889434888,0.427624153580635,0.6162430695352505,0.5413083538083538,0.4499424145112643,0.6276680541514223,0.5244932432432432,0.4267899705679686,0.6147224982658427
Tubule,0.6334776334776335,0.5425545146719712,0.7232189165485556,0.6338784672118005,0.5458929154681943,0.7237625896553741,0.6799743466410133,0.5856368431775111,0.761256775751561
