label,n_pos,n_neg,sig_p05,sig_bonf,min_p,median_p,total_dims,top5_dims,top5_pvals
has_mitosis,51,111,17,11,1.1188061447917134e-12,0.010011390471614125,26,"[25, 14, 6, 11, 24]","[1.1188061447917134e-12, 8.173430167411282e-11, 1.13895655366984e-08, 1.7043376259324384e-07, 4.1247199007549727e-07]"
has_apoptosis,74,88,15,8,3.538569364644283e-07,0.022350073069537554,26,"[25, 14, 6, 11, 10]","[3.538569364644283e-07, 9.284180708844865e-07, 5.4261331139471544e-05, 0.0002490327952410345, 0.000422848199602947]"
has_tubule,99,63,14,9,7.877097786325333e-08,0.02669427836457213,26,"[11, 10, 6, 24, 0]","[7.877097786325333e-08, 1.4955275305506735e-07, 1.7356869503042314e-07, 7.262560247154683e-07, 7.391964875513636e-07]"
