backbone,task,Full_AUC,MLP_AUC,Random_AUC,Delta_Full,Delta_Random
gcn,Mitosis_Nearby,0.9735164809753979,0.6349354925174707,0.7160667648291651,0.33858098845792717,0.08113127231169437
gcn,Apoptosis_Nearby,0.8929677811413702,0.5969336844144857,0.6344728946931489,0.2960340967268845,0.03753921027866325
gcn,Tubule_Nearby,0.940009951945848,0.6197653640838378,0.748635800260883,0.32024458786201027,0.1288704361770453
gat,Mitosis_Nearby,0.9828197715034983,0.6458574546340419,0.843847370668303,0.33696231686945644,0.19798991603426108
gat,Apoptosis_Nearby,0.9613038327459423,0.5827498210100086,0.6734390735893955,0.3785540117359337,0.09068925257938687
gat,Tubule_Nearby,0.968869995931472,0.6250138699817058,0.7051618493967811,0.3438561259497662,0.08014797941507523
