task,feature,RF_F1,RF_F1_std,RF_AUC,RF_AUC_std,GB_F1,GB_F1_std,GB_AUC,GB_AUC_std
Mitosis,Traditional,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Mitosis,Topological,0.2682051282051282,0.17795389041473905,0.7365702479338844,0.10549061534998057,0.5327141382868937,0.12612678683991022,0.7021810995328782,0.1006558261472275
Mitosis,Combined,0.9682539682539684,0.04375888492727057,1.0,0.0,1.0,0.0,1.0,0.0
Apoptosis,Traditional,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Apoptosis,Topological,0.45460317460317456,0.06598937896018206,0.6219981325863678,0.05310082011556673,0.5083631566390187,0.10410533844783049,0.5637535014005602,0.13399405502965211
Apoptosis,Combined,0.9866518353726363,0.016363226294490118,1.0,0.0,1.0,0.0,1.0,0.0
Tubule,Traditional,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Tubule,Topological,0.7236905128995785,0.04803538877939431,0.652586032388664,0.08948259945243571,0.7164864121385861,0.03100312076248237,0.6668421052631579,0.055460816086661945
Tubule,Combined,0.9786324786324787,0.020583922356909916,0.9975708502024292,0.004858299595141702,1.0,0.0,1.0,0.0
