task,Patch_AUC,Patch_CI_low,Patch_CI_high
Mitosis,0.5934463875640344,0.4895740055168409,0.6915768713218344
Apoptosis,0.5704084766584767,0.4811418072278095,0.6553410626862495
Tubule,0.392977392977393,0.3079087981261895,0.48378419431382785
